26,255
7,23
18,23
4,9
3,10
14,16
8,9
3,25
8,12
1,6
9,17
11,14
0,11
9,20
19,24
1,18
2,17
13,17
13,20
7,16
6,8
15,20
16,25
20,25
18,25
20,22
3,12
14,18
12,18
5,12
3,21
5,15
8,14
1,5
19,23
2,10
0,19
13,19
15,16
6,13
6,7
18,21
4,7
7,24
18,24
5,11
3,17
0,3
8,10
5,23
5,17
10,13
8,19
10,16
19,25
2,6
19,22
2,12
13,18
7,11
15,18
21,12,14,25,25,7,9,10,21,10,2,11,4,0,21,4,16,10,11,23,24,6,1,22,15,20,11,25,8,12,14,20,10,11,23,21,13,16,12,8,6,12,13,21,15,18,17,23,24,3,7,6,22,8,13,14,18,17,23,1,4,25,11,3,4,8,14,9,25,20,13,23,8,15,1,17,19,0,13,14,13,9,12,20,16,13,20,23,15,12,15,6,18,7,25,14,5,17,23,6,3,15,10,3,14,11,16,15,6,6,19,4,21,2,15,22,22,10,15,3,17,5,17,5,14,0,20,1,19,16,10,8,8,15,7,6,11,9,8,17,25,16,15,0,24,14,20,4,6,25,1,15,24,3,13,10,18,19,4,20,9,14,18,0,11,18,24,1,15,22,13,1,0,23,18,9,4,10,19,16,25,7,6,17,17,19,0,13,8,24,23,3,19,6,11,3,10,24,17,4,23,22,24,3,18,19,8,25,5,23,17,17,16,19,25,19,22,22,22,25,5,21,11,7,11,24,19,24,1,4,19,4,23,0,21,9,11,24,4,0,23,18,4,25,8,14,14,12,25,8,0,6,9,12,24
0.05,0.1
